PAYDEX,CCS_GRADE,YEARMONTH,CREDIT_LIMIT,GALLONS,FUEL_SPEND,NONFUEL_SPEND,TOT_SPEND,WO_AMOUNT,PAYMENT_AMOUNT,NO_OF_PAYMENT,FUEL_NET_REV,NONFUEL_NET_REV,NET_FEE_REV,TOT_NET_REV,LOB_REPORTING,PORFOLIO,DEPOSIT_FLAG,LOCK_REASON,LOCK_TYPE,LOCK_CODE,Expr6,LOCK_DAYS,DUE_DAYS,TERM_DAYS,SNAPSHOT_DATE,CURRENT_BALANCE,UNBILLED_BALANCE,BAL_90_PLUS,BAL_61_90,BAL_31_60,BAL_1_30,VANTAGE_SCORE,REFRESH_MONTH,SEGMENT,Expr7,QUARTER_REFRESHED,NSF_PMTS,NSF_AMOUNT,Expr11,FLEETCOR_OPEN_DATE,CITY,STATE,ZIP,DAYS_PAST_DUE
,X,202301,3000,135.11,508.96,0,508.96,926.8,2215.69,2,11.29,0,458.83,470.12,NAL MC,FMMC,0,BAD AGENCY,PERM LOCK,I,3000,7,14,30,4/1/2023,0,0,0,0,0,0,,202308,7,136747,2022Q3,1,876.8,111690,7/23/2020,TULETA,TX,78162,
,X,202301,3000,135.11,508.96,0,508.96,926.8,2215.69,2,11.29,0,458.83,470.12,NAL MC,FMMC,0,BAD AGENCY,PERM LOCK,I,3000,7,14,30,4/1/2023,0,0,0,0,0,0,,202309,29,173672,2022Q3,1,876.8,111690,7/23/2020,TULETA,TX,78162,
,X,202301,3000,135.11,508.96,0,508.96,926.8,2215.69,2,11.29,0,458.83,470.12,NAL MC,FMMC,0,BAD AGENCY,PERM LOCK,I,3000,7,14,30,4/1/2023,0,0,0,0,0,0,,202311,45,278171,2022Q3,1,876.8,111690,7/23/2020,TULETA,TX,78162,
,X,202301,3000,135.11,508.96,0,508.96,926.8,2215.69,2,11.29,0,458.83,470.12,NAL MC,FMMC,0,BAD AGENCY,PERM LOCK,I,3000,7,14,30,4/1/2023,0,0,0,0,0,0,,202212,51,129249,2022Q3,1,876.8,111690,7/23/2020,TULETA,TX,78162,
,X,202301,3000,135.11,508.96,0,508.96,926.8,2215.69,2,11.29,0,458.83,470.12,NAL MC,FMMC,0,BAD AGENCY,PERM LOCK,I,3000,7,14,30,4/1/2023,0,0,0,0,0,0,,202212,8,131674,2022Q3,1,876.8,111690,7/23/2020,TULETA,TX,78162,
,X,202301,3000,135.11,508.96,0,508.96,926.8,2215.69,2,11.29,0,458.83,470.12,NAL MC,FMMC,0,BAD AGENCY,PERM LOCK,I,3000,7,14,30,4/1/2023,0,0,0,0,0,0,,202306,2,260765,2022Q3,1,876.8,111690,7/23/2020,TULETA,TX,78162,
,X,202301,3000,135.11,508.96,0,508.96,926.8,2215.69,2,11.29,0,458.83,470.12,NAL MC,FMMC,0,BAD AGENCY,PERM LOCK,I,3000,7,14,30,4/1/2023,0,0,0,0,0,0,,202307,4,235873,2022Q3,1,876.8,111690,7/23/2020,TULETA,TX,78162,
,X,202301,3000,135.11,508.96,0,508.96,926.8,2215.69,2,11.29,0,458.83,470.12,NAL MC,FMMC,0,BAD AGENCY,PERM LOCK,I,3000,7,14,30,4/1/2023,0,0,0,0,0,0,,202307,29,254213,2022Q3,1,876.8,111690,7/23/2020,TULETA,TX,78162,
,X,202301,3000,135.11,508.96,0,508.96,926.8,2215.69,2,11.29,0,458.83,470.12,NAL MC,FMMC,0,BAD AGENCY,PERM LOCK,I,3000,7,14,30,4/1/2023,0,0,0,0,0,0,,202212,5,272696,2022Q3,1,876.8,111690,7/23/2020,TULETA,TX,78162,
,X,202301,3000,135.11,508.96,0,508.96,926.8,2215.69,2,11.29,0,458.83,470.12,NAL MC,FMMC,0,BAD AGENCY,PERM LOCK,I,3000,7,14,30,4/1/2023,0,0,0,0,0,0,,202303,5,287197,2022Q3,1,876.8,111690,7/23/2020,TULETA,TX,78162,
,X,202301,3000,135.11,508.96,0,508.96,926.8,2215.69,2,11.29,0,458.83,470.12,NAL MC,FMMC,0,BAD AGENCY,PERM LOCK,I,3000,7,14,30,4/1/2023,0,0,0,0,0,0,,202303,7,138751,2022Q3,1,876.8,111690,7/23/2020,TULETA,TX,78162,
,X,202301,3000,135.11,508.96,0,508.96,926.8,2215.69,2,11.29,0,458.83,470.12,NAL MC,FMMC,0,BAD AGENCY,PERM LOCK,I,3000,7,14,30,4/1/2023,0,0,0,0,0,0,,202303,4,192131,2022Q3,1,876.8,111690,7/23/2020,TULETA,TX,78162,
,X,202301,3000,135.11,508.96,0,508.96,926.8,2215.69,2,11.29,0,458.83,470.12,NAL MC,FMMC,0,BAD AGENCY,PERM LOCK,I,3000,7,14,30,4/1/2023,0,0,0,0,0,0,,202305,3,300902,2022Q3,1,876.8,111690,7/23/2020,TULETA,TX,78162,
,X,202301,3000,135.11,508.96,0,508.96,926.8,2215.69,2,11.29,0,458.83,470.12,NAL MC,FMMC,0,BAD AGENCY,PERM LOCK,I,3000,7,14,30,4/1/2023,0,0,0,0,0,0,,202307,7,220271,2022Q3,1,876.8,111690,7/23/2020,TULETA,TX,78162,
,X,202301,3000,135.11,508.96,0,508.96,926.8,2215.69,2,11.29,0,458.83,470.12,NAL MC,FMMC,0,BAD AGENCY,PERM LOCK,I,3000,7,14,30,4/1/2023,0,0,0,0,0,0,,202307,3,266691,2022Q3,1,876.8,111690,7/23/2020,TULETA,TX,78162,
,X,202301,3000,135.11,508.96,0,508.96,926.8,2215.69,2,11.29,0,458.83,470.12,NAL MC,FMMC,0,BAD AGENCY,PERM LOCK,I,3000,7,14,30,4/1/2023,0,0,0,0,0,0,,202302,24,151324,2022Q3,1,876.8,111690,7/23/2020,TULETA,TX,78162,
,X,202301,3000,135.11,508.96,0,508.96,926.8,2215.69,2,11.29,0,458.83,470.12,NAL MC,FMMC,0,BAD AGENCY,PERM LOCK,I,3000,7,14,30,4/1/2023,0,0,0,0,0,0,,202306,7,201871,2022Q3,1,876.8,111690,7/23/2020,TULETA,TX,78162,
,X,202301,3000,135.11,508.96,0,508.96,926.8,2215.69,2,11.29,0,458.83,470.12,NAL MC,FMMC,0,BAD AGENCY,PERM LOCK,I,3000,7,14,30,4/1/2023,0,0,0,0,0,0,,202307,3,271098,2022Q3,1,876.8,111690,7/23/2020,TULETA,TX,78162,
,X,202301,3000,135.11,508.96,0,508.96,926.8,2215.69,2,11.29,0,458.83,470.12,NAL MC,FMMC,0,BAD AGENCY,PERM LOCK,I,3000,7,14,30,4/1/2023,0,0,0,0,0,0,,202308,9,303879,2022Q3,1,876.8,111690,7/23/2020,TULETA,TX,78162,
,X,202301,3000,135.11,508.96,0,508.96,926.8,2215.69,2,11.29,0,458.83,470.12,NAL MC,FMMC,0,BAD AGENCY,PERM LOCK,I,3000,7,14,30,4/1/2023,0,0,0,0,0,0,,202309,37,134221,2022Q3,1,876.8,111690,7/23/2020,TULETA,TX,78162,
,X,202301,3000,135.11,508.96,0,508.96,926.8,2215.69,2,11.29,0,458.83,470.12,NAL MC,FMMC,0,BAD AGENCY,PERM LOCK,I,3000,7,14,30,4/1/2023,0,0,0,0,0,0,,202309,12,275567,2022Q3,1,876.8,111690,7/23/2020,TULETA,TX,78162,
,X,202301,3000,135.11,508.96,0,508.96,926.8,2215.69,2,11.29,0,458.83,470.12,NAL MC,FMMC,0,BAD AGENCY,PERM LOCK,I,3000,7,14,30,4/1/2023,0,0,0,0,0,0,,202302,43,216429,2022Q3,1,876.8,111690,7/23/2020,TULETA,TX,78162,
